access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,5.9052037001e+01,5.5637745142e+01,3.8390230501e+07,4.0746103319e+07
write,1,5.9052280903e+01,5.5637723923e+01,3.8390071939e+07,4.0746118859e+07
write,2,5.9061105013e+01,5.9029952049e+01,3.8384336214e+07,3.8404593487e+07
write,3,5.9053072929e+01,4.7484031916e+01,3.8389557047e+07,4.7742814174e+07
write,4,5.9051466942e+01,5.6225399971e+01,3.8390601105e+07,4.0320234506e+07
write,5,5.9052405834e+01,5.7721634865e+01,3.8389990721e+07,3.9275071077e+07
write,6,5.9050972939e+01,4.9832814932e+01,3.8390922269e+07,4.5492539707e+07
write,7,5.9053035975e+01,5.6344995975e+01,3.8389581070e+07,4.0234652124e+07
write,8,5.9061398983e+01,5.6344960928e+01,3.8384145161e+07,4.0234677151e+07
write,9,5.9061254025e+01,5.6225333929e+01,3.8384239371e+07,4.0320281865e+07
write,10,5.9061517000e+01,5.6225363970e+01,3.8384068462e+07,4.0320260323e+07
write,11,5.9051123857e+01,5.6344963789e+01,3.8390824152e+07,4.0234675108e+07
write,12,5.9052366018e+01,5.7721592903e+01,3.8390016605e+07,3.9275099629e+07
write,13,5.9065609932e+01,5.5904554844e+01,3.8381408651e+07,4.0551638741e+07
write,14,5.9065800905e+01,5.6225351810e+01,3.8381284555e+07,4.0320269042e+07
write,15,5.9051473856e+01,5.6225389004e+01,3.8390596609e+07,4.0320242370e+07
write,16,5.9053273916e+01,5.8531842947e+01,3.8389426388e+07,3.8731418624e+07
write,17,5.9061671019e+01,5.6344954967e+01,3.8383968366e+07,4.0234681407e+07
write,18,5.9053141832e+01,5.6225347996e+01,3.8389512254e+07,4.0320271778e+07
write,19,5.9065948009e+01,5.6225343943e+01,3.8381188966e+07,4.0320274685e+07
write,20,5.9060786009e+01,5.7695986032e+01,3.8384543539e+07,3.9292530866e+07
write,21,5.9058639050e+01,4.9833074093e+01,3.8385938933e+07,4.5492303119e+07
write,22,5.9051527977e+01,4.9832988977e+01,3.8390561424e+07,4.5492380821e+07
write,23,5.9054033041e+01,5.6225397110e+01,3.8388932902e+07,4.0320236557e+07
write,24,5.9048955917e+01,4.9832995892e+01,3.8392233644e+07,4.5492374509e+07
write,25,5.9052373171e+01,5.6225398064e+01,3.8390011955e+07,4.0320235873e+07
write,26,5.9056205034e+01,5.6225373983e+01,3.8387521018e+07,4.0320253142e+07
write,27,5.9060647011e+01,5.7721750021e+01,3.8384633876e+07,3.9274992722e+07
write,28,5.9053247213e+01,5.4397756100e+01,3.8389443747e+07,4.1674904896e+07
write,29,5.9055832148e+01,5.6344961882e+01,3.8387763402e+07,4.0234676470e+07
write,30,5.9052473068e+01,4.4822153091e+01,3.8389947012e+07,5.0578143968e+07
write,31,5.9051393032e+01,5.6225327969e+01,3.8390649155e+07,4.0320286140e+07
write,32,5.9061617136e+01,5.7695924997e+01,3.8384003384e+07,3.9292572432e+07
write,33,5.9058385134e+01,5.9029931068e+01,3.8386103969e+07,3.8404607137e+07
write,34,5.9056749821e+01,5.6344913960e+01,3.8387166901e+07,4.0234710690e+07
write,35,5.9050512075e+01,5.6225415945e+01,3.8391221893e+07,4.0320223050e+07
write,36,5.9053231001e+01,5.6225279093e+01,3.8389454287e+07,4.0320321190e+07
write,37,5.9056243181e+01,5.6344912052e+01,3.8387496222e+07,4.0234712052e+07
write,38,5.9054043055e+01,5.6225332975e+01,3.8388926392e+07,4.0320282549e+07
write,39,5.9055795193e+01,5.6344976902e+01,3.8387787424e+07,4.0234665744e+07
write,40,5.9061690807e+01,5.6225390911e+01,3.8383955505e+07,4.0320241003e+07
write,41,5.9059119940e+01,5.7696007013e+01,3.8385626374e+07,3.9292516577e+07
write,42,5.9051367998e+01,5.9030668974e+01,3.8390665430e+07,3.8404127065e+07
write,43,5.9056607008e+01,5.6225359917e+01,3.8387259730e+07,4.0320263229e+07
write,44,5.9061746836e+01,4.9833207846e+01,3.8383919092e+07,4.5492181018e+07
write,45,5.9058130980e+01,5.9029937983e+01,3.8386269162e+07,3.8404602639e+07
write,46,5.9061711073e+01,5.9029942989e+01,3.8383942335e+07,3.8404599381e+07
write,47,5.9061006069e+01,4.9833112001e+01,3.8384400519e+07,4.5492268513e+07
write,48,5.9056606054e+01,4.9833112001e+01,3.8387260350e+07,4.5492268513e+07
write,49,5.9058549881e+01,5.6225364923e+01,3.8385996889e+07,4.0320259639e+07
write,50,5.9054619074e+01,5.6344955921e+01,3.8388551947e+07,4.0234680726e+07
write,51,5.9060974836e+01,5.6225338936e+01,3.8384420817e+07,4.0320278275e+07
write,52,5.9053041935e+01,5.6225467920e+01,3.8389577196e+07,4.0320185778e+07
write,53,5.9061496019e+01,5.9029942989e+01,3.8384082097e+07,3.8404599381e+07
write,54,5.9061284065e+01,5.6225361109e+01,3.8384219847e+07,4.0320262374e+07
write,55,5.9056735039e+01,5.6345065117e+01,3.8387176509e+07,4.0234602752e+07
write,56,5.9053801060e+01,5.5637769938e+01,3.8389083705e+07,4.0746085160e+07
write,57,5.9057889938e+01,5.7695998907e+01,3.8386425833e+07,3.9292522098e+07
write,58,5.9055453062e+01,4.9833112001e+01,3.8388009819e+07,4.5492268513e+07
write,59,5.9052143097e+01,5.6225385904e+01,3.8390161527e+07,4.0320244593e+07
write,60,5.9058443069e+01,5.6225444078e+01,3.8386066313e+07,4.0320202875e+07
write,61,5.9050544977e+01,5.9030048847e+01,3.8391200502e+07,3.8404530511e+07
write,62,5.9061367035e+01,5.6225435019e+01,3.8384165925e+07,4.0320209372e+07
