access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,9.6306929588e+00,9.6148469448e+00,3.3059426291e+07,3.3113910791e+07
read,1,9.6306889057e+00,9.6148400307e+00,3.3059440204e+07,3.3113934604e+07
read,2,9.6306948662e+00,9.6148419380e+00,3.3059419743e+07,3.3113928035e+07
read,3,9.6306898594e+00,9.6148438454e+00,3.3059436930e+07,3.3113921466e+07
read,4,9.6306979656e+00,9.6148419380e+00,3.3059409104e+07,3.3113928035e+07
read,5,9.6306970119e+00,9.6148409843e+00,3.3059412377e+07,3.3113931319e+07
read,6,9.6306951046e+00,9.6148419380e+00,3.3059418925e+07,3.3113928035e+07
read,7,9.6306951046e+00,9.6148438454e+00,3.3059418925e+07,3.3113921466e+07
read,8,9.6306889057e+00,9.6148409843e+00,3.3059440204e+07,3.3113931319e+07
read,9,9.6306929588e+00,9.6148428917e+00,3.3059426291e+07,3.3113924750e+07
read,10,9.6306929588e+00,9.6148409843e+00,3.3059426291e+07,3.3113931319e+07
read,11,9.6306979656e+00,9.6148419380e+00,3.3059409104e+07,3.3113928035e+07
read,12,9.6306898594e+00,9.6148409843e+00,3.3059436930e+07,3.3113931319e+07
read,13,9.6306929588e+00,9.6148400307e+00,3.3059426291e+07,3.3113934604e+07
read,14,9.6306939125e+00,9.6148409843e+00,3.3059423017e+07,3.3113931319e+07
read,15,9.6306920052e+00,9.6148428917e+00,3.3059429564e+07,3.3113924750e+07
read,16,9.6321070194e+00,9.6148390770e+00,3.3054572936e+07,3.3113937888e+07
read,17,9.6306929588e+00,9.6148529053e+00,3.3059426291e+07,3.3113890263e+07
read,18,9.6306920052e+00,9.6148390770e+00,3.3059429564e+07,3.3113937888e+07
read,19,9.6306951046e+00,9.6148409843e+00,3.3059418925e+07,3.3113931319e+07
read,20,9.6306917667e+00,9.6148478985e+00,3.3059430383e+07,3.3113907507e+07
read,21,9.6306879520e+00,9.6148538589e+00,3.3059443478e+07,3.3113886979e+07
read,22,9.6306908131e+00,9.6148478985e+00,3.3059433656e+07,3.3113907507e+07
read,23,9.6323299408e+00,9.6148488522e+00,3.3053807953e+07,3.3113904222e+07
read,24,9.6306917667e+00,9.6148469448e+00,3.3059430383e+07,3.3113910791e+07
read,25,9.6306869984e+00,9.6148488522e+00,3.3059446751e+07,3.3113904222e+07
read,26,9.6306908131e+00,9.6148469448e+00,3.3059433656e+07,3.3113910791e+07
read,27,9.6306869984e+00,9.6148488522e+00,3.3059446751e+07,3.3113904222e+07
read,28,9.6306889057e+00,9.6148478985e+00,3.3059440204e+07,3.3113907507e+07
read,29,9.6306917667e+00,9.6148488522e+00,3.3059430383e+07,3.3113904222e+07
read,30,9.6306920052e+00,9.6148478985e+00,3.3059429564e+07,3.3113907507e+07
read,31,9.6306819916e+00,9.6148488522e+00,3.3059463938e+07,3.3113904222e+07
read,32,9.6306929588e+00,9.6148498058e+00,3.3059426291e+07,3.3113900938e+07
read,33,9.6306920052e+00,9.6148498058e+00,3.3059429564e+07,3.3113900938e+07
read,34,9.6306889057e+00,9.6148498058e+00,3.3059440204e+07,3.3113900938e+07
read,35,9.6306829453e+00,9.6148478985e+00,3.3059460664e+07,3.3113907507e+07
read,36,9.6306860447e+00,9.6148478985e+00,3.3059450025e+07,3.3113907507e+07
read,37,9.6306889057e+00,9.6148478985e+00,3.3059440204e+07,3.3113907507e+07
read,38,9.6306929588e+00,9.6148469448e+00,3.3059426291e+07,3.3113910791e+07
read,39,9.6306920052e+00,9.6148488522e+00,3.3059429564e+07,3.3113904222e+07
read,40,9.6324160099e+00,9.6149320602e+00,3.3053512605e+07,3.3113617653e+07
read,41,9.6307048798e+00,9.6149320602e+00,3.3059385370e+07,3.3113617653e+07
read,42,9.6307098866e+00,9.6149311066e+00,3.3059368183e+07,3.3113620937e+07
read,43,9.6307058334e+00,9.6149320602e+00,3.3059382096e+07,3.3113617653e+07
read,44,9.6307129860e+00,9.6149311066e+00,3.3059357543e+07,3.3113620937e+07
read,45,9.6307039261e+00,9.6149311066e+00,3.3059388643e+07,3.3113620937e+07
read,46,9.6307129860e+00,9.6149330139e+00,3.3059357543e+07,3.3113614368e+07
read,47,9.6307108402e+00,9.6149339676e+00,3.3059364909e+07,3.3113611084e+07
read,48,9.6307089329e+00,9.6149320602e+00,3.3059371456e+07,3.3113617653e+07
read,49,9.6307079792e+00,9.6149320602e+00,3.3059374730e+07,3.3113617653e+07
read,50,9.6307129860e+00,9.6149320602e+00,3.3059357543e+07,3.3113617653e+07
read,51,9.6307108402e+00,9.6149330139e+00,3.3059364909e+07,3.3113614368e+07
read,52,9.6307058334e+00,9.6149320602e+00,3.3059382096e+07,3.3113617653e+07
read,53,9.6307079792e+00,9.6149330139e+00,3.3059374730e+07,3.3113614368e+07
read,54,9.6307129860e+00,9.6149330139e+00,3.3059357543e+07,3.3113614368e+07
read,55,9.6307098866e+00,9.6149330139e+00,3.3059368183e+07,3.3113614368e+07
read,56,9.6307108402e+00,9.6149330139e+00,3.3059364909e+07,3.3113614368e+07
read,57,9.6307139397e+00,9.6149320602e+00,3.3059354270e+07,3.3113617653e+07
read,58,9.6307098866e+00,9.6149330139e+00,3.3059368183e+07,3.3113614368e+07
read,59,9.6307048798e+00,9.6149330139e+00,3.3059385370e+07,3.3113614368e+07
read,60,9.6306850910e+00,9.6149339676e+00,3.3059453299e+07,3.3113611084e+07
read,61,9.6306891441e+00,9.6149330139e+00,3.3059439385e+07,3.3113614368e+07
read,62,9.6306910515e+00,9.6149330139e+00,3.3059432838e+07,3.3113614368e+07
read,63,9.6306891441e+00,9.6149330139e+00,3.3059439385e+07,3.3113614368e+07
read,64,9.6306869984e+00,9.6149330139e+00,3.3059446751e+07,3.3113614368e+07
read,65,9.6323039532e+00,9.6149349213e+00,3.3053897131e+07,3.3113607799e+07
read,66,9.6306879520e+00,9.6149330139e+00,3.3059443478e+07,3.3113614368e+07
read,67,9.6306841373e+00,9.6149339676e+00,3.3059456572e+07,3.3113611084e+07
read,68,9.6306841373e+00,9.6149260998e+00,3.3059456572e+07,3.3113638180e+07
read,69,9.6306900978e+00,9.6149320602e+00,3.3059436112e+07,3.3113617653e+07
read,70,9.6306891441e+00,9.6149330139e+00,3.3059439385e+07,3.3113614368e+07
read,71,9.6306900978e+00,9.6149330139e+00,3.3059436112e+07,3.3113614368e+07
read,72,9.6306920052e+00,9.6149330139e+00,3.3059429564e+07,3.3113614368e+07
read,73,9.6306910515e+00,9.6149339676e+00,3.3059432838e+07,3.3113611084e+07
read,74,9.6306910515e+00,9.6149339676e+00,3.3059432838e+07,3.3113611084e+07
read,75,9.6306929588e+00,9.6149349213e+00,3.3059426291e+07,3.3113607799e+07
read,76,9.6306900978e+00,9.6149339676e+00,3.3059436112e+07,3.3113611084e+07
read,77,9.6306850910e+00,9.6149339676e+00,3.3059453299e+07,3.3113611084e+07
read,78,9.6306920052e+00,9.6149330139e+00,3.3059429564e+07,3.3113614368e+07
read,79,9.6306879520e+00,9.6149339676e+00,3.3059443478e+07,3.3113611084e+07
