access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,7.9654714823e+01,7.7398805857e+01,3.9970663972e+06,4.1135671342e+06
write,1,7.9654713869e+01,7.9623296976e+01,3.9970664451e+06,3.9986435640e+06
write,2,7.9654711962e+01,6.9671182871e+01,3.9970665408e+06,4.5698260153e+06
write,3,7.9654708862e+01,7.8284780025e+01,3.9970666963e+06,4.0670125648e+06
write,4,7.9654716015e+01,7.3401233912e+01,3.9970663374e+06,4.3375998881e+06
write,5,7.9654712915e+01,7.7002136946e+01,3.9970664930e+06,4.1347577694e+06
write,6,7.9654716015e+01,7.7857749939e+01,3.9970663374e+06,4.0893191012e+06
write,7,7.9654717922e+01,7.0476205826e+01,3.9970662417e+06,4.5176266269e+06
write,8,7.9654718876e+01,7.3609133005e+01,3.9970661939e+06,4.3253489207e+06
write,9,7.9654714823e+01,7.9141201973e+01,3.9970663972e+06,4.0230016232e+06
write,10,7.9654708862e+01,6.9015017986e+01,3.9970666963e+06,4.6132739408e+06
write,11,7.9656694889e+01,7.3699181795e+01,3.9969670402e+06,4.3200640257e+06
write,12,7.9654718876e+01,7.3191509008e+01,3.9970661939e+06,4.3500289626e+06
write,13,7.9654708862e+01,7.4133893013e+01,3.9970666963e+06,4.2947317490e+06
write,14,7.9654716015e+01,6.1547468901e+01,3.9970663374e+06,5.1730020696e+06
write,15,7.9654711962e+01,6.5575047016e+01,3.9970665408e+06,4.8552795383e+06
write,16,7.9654721022e+01,7.2349874973e+01,3.9970660862e+06,4.4006321243e+06
write,17,7.9654708862e+01,7.1520039797e+01,3.9970666963e+06,4.4516919300e+06
write,18,7.9654714823e+01,7.9082869053e+01,3.9970663972e+06,4.0259690602e+06
write,19,7.9654709816e+01,7.7034904957e+01,3.9970666485e+06,4.1329989851e+06
write,20,7.9654814005e+01,4.0210928917e+01,3.9970614203e+06,7.9178768702e+06
write,21,7.9654806852e+01,3.5360653162e+01,3.9970617792e+06,9.0039395636e+06
write,22,7.9654814959e+01,3.3169628143e+01,3.9970613724e+06,9.5986962116e+06
write,23,7.9654809952e+01,5.4724646091e+01,3.9970616237e+06,5.8179487076e+06
write,24,7.9654809952e+01,6.6167942047e+01,3.9970616237e+06,4.8117740125e+06
write,25,7.9654809952e+01,6.6467072964e+01,3.9970616237e+06,4.7901189236e+06
write,26,7.9654808998e+01,5.8670983076e+01,3.9970616715e+06,5.4266209173e+06
write,27,7.9654810905e+01,5.4069643021e+01,3.9970615758e+06,5.8884277057e+06
write,28,7.9654810905e+01,6.1762807131e+01,3.9970615758e+06,5.1549662133e+06
write,29,7.9654814959e+01,5.7279798031e+01,3.9970613724e+06,5.5584201576e+06
write,30,7.9654810905e+01,6.5332675219e+01,3.9970615758e+06,4.8732917018e+06
write,31,7.9654815912e+01,6.7252971172e+01,3.9970613246e+06,4.7341430193e+06
write,32,7.9654814959e+01,6.9159444094e+01,3.9970613724e+06,4.6036400115e+06
write,33,7.9654813051e+01,6.5190654993e+01,3.9970614682e+06,4.8839083460e+06
write,34,7.9654815912e+01,5.2334367037e+01,3.9970613246e+06,6.0836731583e+06
write,35,7.9654814959e+01,7.2626549006e+01,3.9970613724e+06,4.3838677228e+06
write,36,7.9657011986e+01,7.1758143902e+01,3.9969511291e+06,4.4369205596e+06
write,37,7.9654813051e+01,6.8678297043e+01,3.9970614682e+06,4.6358922354e+06
write,38,7.9654809952e+01,7.2046000957e+01,3.9970616237e+06,4.4191930124e+06
write,39,7.9654814959e+01,7.1364638090e+01,3.9970613724e+06,4.4613858140e+06
write,40,7.9654764891e+01,7.3804732800e+01,3.9970638848e+06,4.3138857350e+06
write,41,7.9654765844e+01,7.4674895048e+01,3.9970638370e+06,4.2636174285e+06
write,42,7.9654762983e+01,5.7620174885e+01,3.9970639806e+06,5.5255851728e+06
write,43,7.9654768944e+01,7.7623616934e+01,3.9970636815e+06,4.1016535505e+06
write,44,7.9654767990e+01,6.0554638863e+01,3.9970637293e+06,5.2578165766e+06
write,45,7.9654764891e+01,7.5929569006e+01,3.9970638848e+06,4.1931646415e+06
write,46,7.9654766798e+01,6.8763695002e+01,3.9970637891e+06,4.6301348988e+06
