access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,4.8603886843e+01,4.8580278158e+01,4.6642798740e+07,4.6665465863e+07
read,1,4.8602324963e+01,4.8580274820e+01,4.6644297649e+07,4.6665469069e+07
read,2,4.8602643967e+01,4.8580251932e+01,4.6643991499e+07,4.6665491055e+07
read,3,4.8601168871e+01,4.8580252886e+01,4.6645407192e+07,4.6665490139e+07
read,4,4.8603988886e+01,4.8580284834e+01,4.6642700815e+07,4.6665459450e+07
read,5,4.8603210926e+01,4.8580285788e+01,4.6643447394e+07,4.6665458534e+07
read,6,4.8602964878e+01,4.8580286980e+01,4.6643683522e+07,4.6665457389e+07
read,7,4.8602732897e+01,4.8580276966e+01,4.6643906153e+07,4.6665467008e+07
read,8,4.8604171991e+01,4.8580251932e+01,4.6642525099e+07,4.6665491055e+07
read,9,4.8598299026e+01,4.8580252886e+01,4.6648161714e+07,4.6665490139e+07
read,10,4.8602537870e+01,4.8580252886e+01,4.6644093320e+07,4.6665490139e+07
read,11,4.8603851795e+01,4.8580253839e+01,4.6642832374e+07,4.6665489223e+07
read,12,4.8604283810e+01,4.8580251932e+01,4.6642417793e+07,4.6665491055e+07
read,13,4.8604141951e+01,4.8580252886e+01,4.6642553927e+07,4.6665490139e+07
read,14,4.8603543997e+01,4.8580254793e+01,4.6643127755e+07,4.6665488307e+07
read,15,4.8602412939e+01,4.8580260038e+01,4.6644213217e+07,4.6665483268e+07
read,16,4.8601650000e+01,4.8580261946e+01,4.6644945429e+07,4.6665481436e+07
read,17,4.8602592945e+01,4.8580261946e+01,4.6644040464e+07,4.6665481436e+07
read,18,4.8603656769e+01,4.8580262899e+01,4.6643019532e+07,4.6665480520e+07
read,19,4.8600399971e+01,4.8580262899e+01,4.6646145162e+07,4.6665480520e+07
read,20,4.8602022171e+01,4.8580285072e+01,4.6644588244e+07,4.6665459221e+07
read,21,4.8603278160e+01,4.8580285072e+01,4.6643382871e+07,4.6665459221e+07
read,22,4.8602626085e+01,4.8580284119e+01,4.6644008660e+07,4.6665460137e+07
read,23,4.8602955103e+01,4.8580285072e+01,4.6643692903e+07,4.6665459221e+07
read,24,4.8604272127e+01,4.8580285072e+01,4.6642429004e+07,4.6665459221e+07
read,25,4.8604193211e+01,4.8580284119e+01,4.6642504736e+07,4.6665460137e+07
read,26,4.8601867199e+01,4.8580286026e+01,4.6644736975e+07,4.6665458305e+07
read,27,4.8603132010e+01,4.8580286980e+01,4.6643523128e+07,4.6665457389e+07
read,28,4.8602799177e+01,4.8580286980e+01,4.6643842544e+07,4.6665457389e+07
read,29,4.8602968216e+01,4.8580286980e+01,4.6643680319e+07,4.6665457389e+07
read,30,4.8601456165e+01,4.8580286026e+01,4.6645131460e+07,4.6665458305e+07
read,31,4.8598666191e+01,4.8580289125e+01,4.6647809285e+07,4.6665455328e+07
read,32,4.8600556135e+01,4.8580288172e+01,4.6645995278e+07,4.6665456244e+07
read,33,4.8600702047e+01,4.8580288172e+01,4.6645855235e+07,4.6665456244e+07
read,34,4.8602081060e+01,4.8580287933e+01,4.6644531727e+07,4.6665456473e+07
read,35,4.8603257895e+01,4.8580290079e+01,4.6643402319e+07,4.6665454412e+07
read,36,4.8601991177e+01,4.8580284119e+01,4.6644617990e+07,4.6665460137e+07
read,37,4.8600555182e+01,4.8580284119e+01,4.6645996194e+07,4.6665460137e+07
read,38,4.8602301121e+01,4.8580285072e+01,4.6644320531e+07,4.6665459221e+07
read,39,4.8603994131e+01,4.8580286026e+01,4.6642695781e+07,4.6665458305e+07
read,40,4.8600595951e+01,4.8580271006e+01,4.6645957064e+07,4.6665472734e+07
read,41,4.8601670027e+01,4.8580264807e+01,4.6644926208e+07,4.6665478688e+07
read,42,4.8601233006e+01,4.8580261946e+01,4.6645345639e+07,4.6665481436e+07
read,43,4.8603132010e+01,4.8580262899e+01,4.6643523128e+07,4.6665480520e+07
read,44,4.8602800846e+01,4.8580274105e+01,4.6643840942e+07,4.6665469756e+07
read,45,4.8603061914e+01,4.8580267906e+01,4.6643590397e+07,4.6665475711e+07
read,46,4.8602240801e+01,4.8580268860e+01,4.6644378421e+07,4.6665474795e+07
read,47,4.8603353024e+01,4.8580269814e+01,4.6643311026e+07,4.6665473879e+07
read,48,4.8600486040e+01,4.8580262899e+01,4.6646062554e+07,4.6665480520e+07
read,49,4.8601987839e+01,4.8580263853e+01,4.6644621194e+07,4.6665479604e+07
read,50,4.8603475809e+01,4.8580264807e+01,4.6643193193e+07,4.6665478688e+07
read,51,4.8600677967e+01,4.8579671860e+01,4.6645878346e+07,4.6666048271e+07
read,52,4.8603399992e+01,4.8580264091e+01,4.6643265952e+07,4.6665479375e+07
read,53,4.8604035854e+01,4.8580249071e+01,4.6642655741e+07,4.6665493803e+07
read,54,4.8603608847e+01,4.8580263853e+01,4.6643065521e+07,4.6665479604e+07
read,55,4.8603946924e+01,4.8580264807e+01,4.6642741083e+07,4.6665478688e+07
read,56,4.8601282835e+01,4.8580262899e+01,4.6645297814e+07,4.6665480520e+07
read,57,4.8601428032e+01,4.8580262899e+01,4.6645158461e+07,4.6665480520e+07
read,58,4.8602802992e+01,4.8580263853e+01,4.6643838883e+07,4.6665479604e+07
read,59,4.8601344824e+01,4.8580265999e+01,4.6645238320e+07,4.6665477543e+07
read,60,4.8603986979e+01,4.8580297947e+01,4.6642702645e+07,4.6665446854e+07
read,61,4.8598594904e+01,4.8580296993e+01,4.6647877711e+07,4.6665447770e+07
read,62,4.8602518082e+01,4.8580297947e+01,4.6644112311e+07,4.6665446854e+07
read,63,4.8603093863e+01,4.8580297947e+01,4.6643559737e+07,4.6665446854e+07
read,64,4.8603480816e+01,4.8580297947e+01,4.6643188388e+07,4.6665446854e+07
