access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,163,7.5410408974e+01,6.9455701113e+01,6.9802718108e+06,7.5787177088e+06
write,164,7.2498270988e+01,6.1355830193e+01,7.2606580105e+06,8.5792197799e+06
write,165,7.2505167961e+01,5.9234659910e+01,7.2599673486e+06,8.8864383251e+06
write,166,7.2476573944e+01,5.7999294996e+01,7.2628316069e+06,9.0757163864e+06
write,167,7.2498196840e+01,7.1441740990e+01,7.2606654364e+06,7.3680336552e+06
write,168,7.2505987883e+01,6.4252521038e+01,7.2598852505e+06,8.1924435570e+06
write,169,7.2502186775e+01,6.4577454805e+01,7.2602658680e+06,8.1512217164e+06
write,170,7.2482014894e+01,6.1872808933e+01,7.2622864136e+06,8.5075360417e+06
write,171,7.2465634823e+01,6.7849135876e+01,7.2639279748e+06,7.7581703172e+06
write,172,7.2491024971e+01,7.1441735983e+01,7.2613837673e+06,7.3680341716e+06
write,173,7.2499185801e+01,5.8994215012e+01,7.2605663938e+06,8.9226571096e+06
write,174,7.2507885933e+01,5.9234640837e+01,7.2596952073e+06,8.8864411865e+06
write,175,7.2481676817e+01,7.0651710033e+01,7.2623202872e+06,7.4504233762e+06
write,176,7.2444169998e+01,6.8863399029e+01,7.2660802382e+06,7.6439031390e+06
write,177,7.2503798962e+01,6.9693590879e+01,7.2601044295e+06,7.5528487678e+06
write,178,7.2414787769e+01,6.3188098907e+01,7.2690284432e+06,8.3304476808e+06
write,179,7.2445482969e+01,6.8316859007e+01,7.2659485509e+06,7.7050549403e+06
write,180,7.2423756838e+01,6.3740257025e+01,7.2681282356e+06,8.2582841138e+06
write,181,7.2431041002e+01,7.2304370165e+01,7.2673973025e+06,7.2801291374e+06
write,182,7.2501540899e+01,6.7255775213e+01,7.2603305457e+06,7.8266163810e+06
write,183,7.5412330866e+01,6.7028001070e+01,6.9800939177e+06,7.8532127409e+06
write,184,7.5412819862e+01,7.1570422173e+01,6.9800486570e+06,7.3547861815e+06
write,185,7.2457188845e+01,6.7409006119e+01,7.2647746951e+06,7.8088252936e+06
write,186,7.2499308825e+01,7.1570409060e+01,7.2605540733e+06,7.3547875291e+06
write,187,7.2495691776e+01,5.1983925104e+01,7.2609163262e+06,1.0125921637e+07
write,188,7.2445211887e+01,7.1960129023e+01,7.2659757393e+06,7.3149556449e+06
write,189,7.2496955872e+01,6.0325062037e+01,7.2607897211e+06,8.7258120295e+06
write,190,7.2411578894e+01,7.1570437193e+01,7.2693505658e+06,7.3547846380e+06
write,191,7.2413872004e+01,4.9337622166e+01,7.2691203693e+06,1.0669041776e+07
write,192,7.2408296824e+01,7.1737295151e+01,7.2696800656e+06,7.3376777155e+06
write,193,7.5412770987e+01,6.3740243196e+01,6.9800531808e+06,8.2582859055e+06
write,194,7.2499445915e+01,6.7343125105e+01,7.2605403442e+06,7.8164645787e+06
write,195,7.2493129969e+01,6.8802044868e+01,7.2611729170e+06,7.6507195826e+06
write,196,7.2471388817e+01,6.1355777979e+01,7.2633512424e+06,8.5792270808e+06
write,197,7.2429694891e+01,5.9475630999e+01,7.2675323677e+06,8.8504340881e+06
write,198,7.2466624975e+01,7.0651713848e+01,7.2638287236e+06,7.4504229739e+06
write,199,7.2503319979e+01,4.8974061012e+01,7.2601523924e+06,1.0748243889e+07
write,200,7.2447207928e+01,6.8893786907e+01,7.2657755496e+06,7.6405315433e+06
write,201,7.2447878838e+01,5.0569050074e+01,7.2657082643e+06,1.0409235515e+07
write,202,7.2489396811e+01,7.0888037920e+01,7.2615468629e+06,7.4255850133e+06
write,203,7.2415023804e+01,5.6102696896e+01,7.2690047500e+06,9.3825284902e+06
write,204,7.2504414797e+01,6.0695127010e+01,7.2600427639e+06,8.6726097782e+06
write,205,7.2480681896e+01,7.2203381062e+01,7.2624199749e+06,7.2903116760e+06
write,206,7.2417011976e+01,6.6207992077e+01,7.2688051831e+06,7.9504775102e+06
write,207,7.2500609875e+01,6.4951084852e+01,7.2604237800e+06,8.1043319476e+06
write,208,7.2497170925e+01,5.3539592028e+01,7.2607681829e+06,9.8316989739e+06
write,209,7.2451747894e+01,5.3444908857e+01,7.2653202621e+06,9.8491168430e+06
write,210,7.2417043924e+01,6.7343142033e+01,7.2688019764e+06,7.8164626139e+06
write,211,7.2427481890e+01,7.2304390907e+01,7.2677544251e+06,7.2801270489e+06
write,212,7.2495970964e+01,7.1570386887e+01,7.2608883638e+06,7.3547898076e+06
write,213,7.2500293970e+01,5.8166841984e+01,7.2604554158e+06,9.0495741912e+06
write,214,7.5411726952e+01,6.8316848993e+01,6.9801498159e+06,7.7050560697e+06
