access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,106,7.4469311094e+02,6.8778935599e+02,7.1790913081e+05,7.7730482355e+05
write,107,7.4469317293e+02,6.6434108090e+02,7.1790907105e+05,8.0474021458e+05
write,108,7.4469313407e+02,6.9275664592e+02,7.1790910852e+05,7.7173129576e+05
write,109,7.4469316196e+02,6.8221630192e+02,7.1790908163e+05,7.8365465982e+05
write,110,7.4469315004e+02,6.6434161496e+02,7.1790909312e+05,8.0473956766e+05
write,111,7.4469317389e+02,5.7861199689e+02,7.1790907014e+05,9.2397320981e+05
write,112,7.4469318700e+02,6.6071325707e+02,7.1790905749e+05,8.0915885715e+05
write,113,7.4469308901e+02,7.2994060802e+02,7.1790915196e+05,7.3241847093e+05
write,114,7.4469318295e+02,7.1143726516e+02,7.1790906140e+05,7.5146750133e+05
write,115,7.4469319296e+02,5.7671882582e+02,7.1790905175e+05,9.2700629851e+05
write,116,7.4469315314e+02,7.1545357704e+02,7.1790909013e+05,7.4724901958e+05
write,117,7.4469315815e+02,6.4695824790e+02,7.1790908530e+05,8.2636242097e+05
write,118,7.4469315696e+02,7.0967203999e+02,7.1790908645e+05,7.5333668776e+05
write,119,7.4469301295e+02,7.0644440198e+02,7.1790922528e+05,7.5677856955e+05
write,120,7.4469221210e+02,7.0616571712e+02,7.1790999732e+05,7.5707722852e+05
write,121,7.4469220901e+02,7.1109647393e+02,7.1791000031e+05,7.5182764027e+05
write,122,7.4469217896e+02,5.3643639588e+02,7.1791002927e+05,9.9661765701e+05
write,123,7.4469216204e+02,5.1391990900e+02,7.1791004559e+05,1.0402826873e+06
write,124,7.4469219112e+02,6.6052894497e+02,7.1791001755e+05,8.0938464252e+05
write,125,7.4469220805e+02,6.3988242602e+02,7.1791000123e+05,8.3550033921e+05
write,126,7.4469220018e+02,6.8350712705e+02,7.1791000882e+05,7.8217470286e+05
write,127,7.4469213605e+02,6.5522558093e+02,7.1791007065e+05,8.1593576252e+05
write,128,7.4469220304e+02,3.6547461605e+02,7.1791000606e+05,1.4628156390e+06
write,129,7.4469218016e+02,7.2811484790e+02,7.1791002812e+05,7.3425502246e+05
write,130,7.4469218397e+02,6.8007402992e+02,7.1791002445e+05,7.8612321670e+05
write,131,7.4469219398e+02,6.7390456891e+02,7.1791001479e+05,7.9332001690e+05
write,132,7.4469210315e+02,6.0465488696e+02,7.1791010236e+05,8.8417706617e+05
write,133,7.4469219208e+02,4.3623312998e+02,7.1791001663e+05,1.2255419116e+06
write,134,7.4469211411e+02,6.6155530190e+02,7.1791009179e+05,8.0812893867e+05
write,135,7.4469219899e+02,5.2355300188e+02,7.1791000997e+05,1.0211420469e+06
write,136,7.4469220018e+02,6.4767257500e+02,7.1791000882e+05,8.2545101435e+05
write,137,7.4469214201e+02,6.5196459603e+02,7.1791006490e+05,8.2001689548e+05
write,138,7.4469212198e+02,5.9722714901e+02,7.1791008421e+05,8.9517361173e+05
write,139,7.4469208503e+02,7.4165260005e+02,7.1791011983e+05,7.2085230196e+05
write,140,7.4469205618e+02,7.2165672708e+02,7.1791014764e+05,7.4082588569e+05
write,141,7.4469216895e+02,6.1907062101e+02,7.1791003893e+05,8.6358803964e+05
write,142,7.4469210815e+02,5.8996196795e+02,7.1791009754e+05,9.0619737042e+05
write,143,7.4469218302e+02,6.4164231300e+02,7.1791002537e+05,8.3320874133e+05
write,144,7.4469212604e+02,7.2344899893e+02,7.1791008030e+05,7.3899056436e+05
write,145,7.4469221210e+02,6.4794367003e+02,7.1790999732e+05,8.2510565150e+05
write,146,7.4469218802e+02,6.5939967299e+02,7.1791002054e+05,8.1077077515e+05
write,147,7.4469218707e+02,6.7615100694e+02,7.1791002146e+05,7.9068429761e+05
write,148,7.4469218898e+02,7.0379480004e+02,7.1791001962e+05,7.5962764142e+05
write,149,7.4469214702e+02,7.4346614408e+02,7.1791006007e+05,7.1909392008e+05
write,150,7.4469218612e+02,5.7805559897e+02,7.1791002238e+05,9.2486256503e+05
write,151,7.4469217300e+02,7.2948521209e+02,7.1791003502e+05,7.3287569801e+05
write,152,7.4469213200e+02,6.6107295704e+02,7.1791007455e+05,8.0871858137e+05
write,153,7.4469220805e+02,6.3576707196e+02,7.1791000123e+05,8.4090857733e+05
write,154,7.4469215417e+02,6.9236701989e+02,7.1791005318e+05,7.7216558363e+05
write,155,7.4469216013e+02,6.1239140391e+02,7.1791004743e+05,8.7300700268e+05
write,156,7.4469219923e+02,4.0062425804e+02,7.1791000974e+05,1.3344723223e+06
write,157,7.4469210505e+02,6.9797092509e+02,7.1791010052e+05,7.6596598050e+05
write,158,7.4469220304e+02,5.8345155096e+02,7.1791000606e+05,9.1630913161e+05
write,159,7.4469221306e+02,6.9593866396e+02,7.1790999641e+05,7.6820273350e+05
write,160,7.4469219518e+02,6.7785891008e+02,7.1791001364e+05,7.8869212464e+05
write,161,7.4469219303e+02,6.3735591507e+02,7.1791001571e+05,8.3881230465e+05
write,162,7.4469221401e+02,4.6517542291e+02,7.1790999549e+05,1.1492911226e+06
write,163,7.4469221115e+02,5.3831674194e+02,7.1790999824e+05,9.9313646102e+05
write,164,7.4469220400e+02,6.5832572603e+02,7.1791000514e+05,8.1209341039e+05
write,165,7.4469218898e+02,6.5476939702e+02,7.1791001962e+05,8.1650423253e+05
write,166,7.4469209218e+02,7.3677859402e+02,7.1791011294e+05,7.2562095091e+05
write,167,7.4469220209e+02,3.4555814910e+02,7.1791000698e+05,1.5471259624e+06
write,168,7.4469209504e+02,7.4154094195e+02,7.1791011018e+05,7.2096084485e+05
write,169,7.4469219899e+02,6.8299015903e+02,7.1791000997e+05,7.8276674551e+05
write,170,7.4469208002e+02,7.4308521605e+02,7.1791012466e+05,7.1946254946e+05
write,171,7.4469208407e+02,7.1810510397e+02,7.1791012075e+05,7.4448988184e+05
write,172,7.4469210696e+02,6.0750951195e+02,7.1791009869e+05,8.8002240868e+05
write,173,7.4469220400e+02,6.1625143909e+02,7.1791000514e+05,8.6753871891e+05
write,174,7.4469212604e+02,5.7551591516e+02,7.1791008030e+05,9.2894387439e+05
write,175,7.4469219208e+02,7.0024298310e+02,7.1791001663e+05,7.6348067300e+05
write,176,7.4469215012e+02,6.2890254402e+02,7.1791005708e+05,8.5008717023e+05
write,177,7.4469220304e+02,6.3009976411e+02,7.1791000606e+05,8.4847196341e+05
write,178,7.4469219017e+02,4.6685692596e+02,7.1791001847e+05,1.1451516605e+06
write,179,7.4469215107e+02,5.2905376101e+02,7.1791005616e+05,1.0105248718e+06
write,180,7.4469221616e+02,6.5743589592e+02,7.1790999342e+05,8.1319256724e+05
write,181,7.4469215703e+02,5.3451730800e+02,7.1791005042e+05,1.0001958328e+06
write,182,7.4469217181e+02,7.0295421004e+02,7.1791003617e+05,7.6053600130e+05
write,183,7.4469221687e+02,4.1217525506e+02,7.1790999273e+05,1.2970744300e+06
write,184,7.4469216895e+02,7.2356364489e+02,7.1791003893e+05,7.3887347406e+05
write,185,7.4469220495e+02,6.8363432789e+02,7.1791000422e+05,7.8202916704e+05
write,186,7.4469220901e+02,5.9581559300e+02,7.1791000031e+05,8.9729438148e+05
write,187,7.4469213080e+02,6.4414742899e+02,7.1791007570e+05,8.2996835808e+05
write,188,7.4469219995e+02,7.1014511013e+02,7.1791000905e+05,7.5283484512e+05
write,189,7.4469215393e+02,6.0279784513e+02,7.1791005341e+05,8.8690095415e+05
write,190,7.4469219494e+02,6.8904105306e+02,7.1791001387e+05,7.7589278843e+05
