access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,62,4.7557717085e+01,4.7343303919e+01,1.1068343568e+07,1.1118471007e+07
read,63,4.7572920084e+01,4.7343308926e+01,1.1064806429e+07,1.1118469831e+07
read,64,4.7585708141e+01,4.7343329906e+01,1.1061832902e+07,1.1118464904e+07
read,65,4.7589456081e+01,4.7343328953e+01,1.1060961720e+07,1.1118465128e+07
read,66,4.7610882998e+01,4.7343307972e+01,1.1055983818e+07,1.1118470055e+07
read,67,4.7581138134e+01,4.7343307972e+01,1.1062895354e+07,1.1118470055e+07
read,68,4.7546967030e+01,4.7343307972e+01,1.1070846047e+07,1.1118470055e+07
read,69,4.7576768160e+01,4.7343307972e+01,1.1063911492e+07,1.1118470055e+07
read,70,4.7536835194e+01,4.7343307972e+01,1.1073205649e+07,1.1118470055e+07
read,71,4.7601699114e+01,4.7343310118e+01,1.1058116870e+07,1.1118469551e+07
read,72,4.7586915016e+01,4.7343309164e+01,1.1061552358e+07,1.1118469775e+07
read,73,4.7516348839e+01,4.7343309164e+01,1.1077979787e+07,1.1118469775e+07
read,74,4.7602441788e+01,4.7343308210e+01,1.1057944346e+07,1.1118469999e+07
read,75,4.7574285030e+01,4.7343338966e+01,1.1064488971e+07,1.1118462776e+07
read,76,4.7610414028e+01,4.7343338966e+01,1.1056092721e+07,1.1118462776e+07
read,77,4.7567999125e+01,4.7343354940e+01,1.1065951095e+07,1.1118459025e+07
read,78,4.7582479000e+01,4.7343354940e+01,1.1062583603e+07,1.1118459025e+07
read,79,4.7525481939e+01,4.7343353987e+01,1.1075850902e+07,1.1118459249e+07
read,80,4.7537223101e+01,4.7343354940e+01,1.1073115291e+07,1.1118459025e+07
read,81,4.7574444056e+01,4.7343354940e+01,1.1064451986e+07,1.1118459025e+07
read,82,4.7534157038e+01,4.7343353987e+01,1.1073829532e+07,1.1118459249e+07
read,83,4.7594001055e+01,4.7343356133e+01,1.1059905457e+07,1.1118458745e+07
read,84,4.7552299023e+01,4.7343356133e+01,1.1069604684e+07,1.1118458745e+07
